user_id,product_id,action,timestamp
user-0001,,browse_products,2026-04-08T14:36:07Z
user-0001,,search,2026-04-08T14:36:47Z
user-0001,15,view,2026-04-08T14:37:23Z
user-0001,48,click,2026-04-08T14:37:45Z
user-0001,15,add_to_cart,2026-04-08T14:38:03Z
user-0001,,checkout,2026-04-08T14:39:23Z
user-0001,15,purchase,2026-04-08T14:40:22Z
user-0001,,browse_recommended,2026-04-08T14:40:54Z
user-0001,42,view,2026-04-08T14:42:10Z
user-0001,29,click,2026-04-08T14:43:24Z
user-0001,56,view,2026-04-08T14:44:44Z
user-0001,48,add_to_cart,2026-04-08T14:44:49Z
user-0001,,checkout,2026-04-08T14:45:48Z
user-0001,48,purchase,2026-04-08T14:46:12Z
user-0001,,browse_recommended,2026-04-08T14:46:30Z
user-0001,,browse_products,2026-04-08T14:47:20Z
user-0001,3,view,2026-04-08T14:48:42Z
user-0001,60,click,2026-04-08T14:49:45Z
user-0001,19,view,2026-04-08T14:50:38Z
user-0001,56,view,2026-04-08T14:52:03Z
user-0001,46,view,2026-04-08T14:52:54Z
user-0001,15,click,2026-04-08T14:53:07Z
user-0001,,search,2026-04-08T14:53:49Z
user-0001,,browse_products,2026-04-08T14:54:23Z
user-0001,41,view,2026-04-08T14:55:16Z
user-0001,23,click,2026-04-08T14:56:07Z
user-0001,41,add_to_cart,2026-04-08T14:56:38Z
user-0001,,checkout,2026-04-08T14:58:05Z
user-0001,41,purchase,2026-04-08T14:59:31Z
user-0001,,browse_products,2026-04-08T15:00:07Z
user-0001,,browse_recommended,2026-04-08T15:00:46Z
user-0001,15,view,2026-04-08T15:02:12Z
user-0001,23,add_to_cart,2026-04-08T15:02:58Z
user-0001,,checkout,2026-04-08T15:03:10Z
user-0001,60,add_to_cart,2026-04-08T15:03:19Z
user-0001,,checkout,2026-04-08T15:03:58Z
user-0001,,browse_recommended,2026-04-08T15:05:15Z
user-0001,32,view,2026-04-08T15:06:00Z
user-0001,,search,2026-04-08T15:06:55Z
user-0001,17,view,2026-04-08T15:08:22Z
user-0001,36,click,2026-04-08T15:08:44Z
user-0002,,browse_products,2026-04-04T07:44:47Z
user-0002,,search,2026-04-04T07:45:46Z
user-0002,26,view,2026-04-04T07:47:05Z
user-0002,15,click,2026-04-04T07:47:56Z
user-0002,15,add_to_cart,2026-04-04T07:48:18Z
user-0002,,checkout,2026-04-04T07:48:34Z
user-0002,15,purchase,2026-04-04T07:48:45Z
user-0002,,browse_products,2026-04-04T07:50:06Z
user-0002,,browse_recommended,2026-04-04T07:51:27Z
user-0002,36,view,2026-04-04T07:52:39Z
user-0002,8,view,2026-04-04T07:52:45Z
user-0002,36,add_to_cart,2026-04-04T07:53:58Z
user-0002,,checkout,2026-04-04T07:54:17Z
user-0002,36,purchase,2026-04-04T07:54:42Z
